T,P,z_carbon dioxide,z_hydrogen,rho_l,rho_v,x_carbon dioxide,x_hydrogen,y_carbon dioxide,y_hydrogen,rhoL1_carbon dioxide,rhoL2_hydrogen,rhoV1_carbon dioxide,rhoV2_hydrogen,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,gamma_wsd,gamma_cDFT_minus_wsd_corrected,gamma_cDFT_minus_wsd_uncorrected
200.0,2.5492001742,0.95,0.05,0.027776024099187977,0.00015927034038364741,0.9999364403490837,6.355965091631794e-05,0.9409904399941059,0.059009560005894024,0.02777425866479239,1.7654343955876221e-06,0.00014987186767561938,9.398472708028008e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.90973311161364,-0.007059634316728847,-0.008325170440173224
200.0,7.1494502874,0.95,0.05,0.02779876219839052,0.00043958865539478015,0.9980834298707228,0.0019165701292772025,0.35196447787443413,0.6480355221255658,0.027745483921130205,5.327827726031553e-05,0.00015471959157554836,0.0002848690638192318,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.82449161138003,-0.21103686734230465,-0.24910485576226904
200.0,11.7497004006,0.95,0.05,0.027821484032965246,0.0007199310673421668,0.9962428301235063,0.003757169876493642,0.22239232472679965,0.7776076752732004,0.02771695399123724,0.00010453004172800586,0.00016010714370927063,0.0005598239236328963,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.739311658553845,-0.4106728401228814,-0.48511648468797475
200.0,16.3499505139,0.95,0.05,0.02784419345965235,0.0010000384212042368,0.9944132549599433,0.005586745040056821,0.1657158039630934,0.8342841960369066,0.027688635049947258,0.00015555840970509535,0.00016572217096384273,0.0008343162502403941,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.65456541475148,-0.6058667751396385,-0.7162887202390706
200.0,20.9502006271,0.95,0.05,0.02786689070243397,0.0012798429329441837,0.9925945321904255,0.007405467809574616,0.1340149264633761,0.8659850735366239,0.027660523340384165,0.00020636736204980894,0.00017151805654318637,0.0011083248764009973,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.57030878616994,-0.7963611227598832,-0.9423696761412899
200.0,25.5504507403,0.95,0.05,0.027889575708564672,0.0015592928977531937,0.9907865808934939,0.009213419106506122,0.11382409087490296,0.886175909125097,0.027632617358859034,0.00025695834970563874,0.0001774850964944503,0.0013818078012587435,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.486549564149282,-0.9820314533271777,-1.1632387400793895
200.0,30.1507008536,0.95,0.05,0.027912248370456277,0.0018383402438178907,0.9889893372927301,0.011010662707269915,0.09988449764515614,0.9001155023548439,0.02760491601824764,0.0003073323522086384,0.00018362169175462387,0.001654718552063267,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.403284877325973,-1.1628422689759468,-1.3788638347717281
200.0,34.7509509668,0.95,0.05,0.027934908563320694,0.0021169383030057525,0.9872027422303827,0.012797257769617307,0.08971854679070938,0.9102814532092907,0.02757741833766519,0.0003574902256555048,0.00018992862819126652,0.0019270096748144861,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.320508741827034,-1.338812614221144,-1.5892672777188324
200.0,39.35120108,0.95,0.05,0.027957556154349243,0.002395041178982454,0.9854267381462108,0.014573261853789123,0.08200590042898216,0.917994099571018,0.027550123367719895,0.00040743278662934516,0.00019640750844694717,0.002198633670535507,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.23821415057534,-1.51000091879175,-1.7945106865529006
200.0,43.9514511932,0.95,0.05,0.0279801910085959,0.002672603488063777,0.9836612671888699,0.016338732811130102,0.07597842116598907,0.9240215788340109,0.027523030143702068,0.0004571608648938333,0.0002030601934258011,0.0024695432946379757,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.15639376992752,-1.6764705000347533,-1.9946605212054713
