T,P,z_carbon dioxide,z_argon,z_carbon monoxide,rho_l,rho_v,x_carbon dioxide,x_argon,x_carbon monoxide,y_carbon dioxide,y_argon,y_carbon monoxide,rhoL1_carbon dioxide,rhoL2_argon,rhoL3_carbon monoxide,rhoV1_carbon dioxide,rhoV2_argon,rhoV3_carbon monoxide,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,parachor_carbon dioxide,parachor_argon,parachor_carbon monoxide,n_exp,gamma_parachor,gamma_cDFT_minus_parachor
200.0,2.5209354373,0.96,0.02,0.02,0.02777453973704929,0.0001577487519827957,0.9996548787956141,0.00023362351486040412,0.00011149768952540232,0.9508590613695366,0.024556393560766127,0.02458454506969737,0.027764954154443976,6.4887855969994196e-06,3.096797008312471e-06,0.00014999683024257695,3.873740437409218e-06,3.878181302809553e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,63.65845399182276,3.87,19.886669904331217,-0.013714496677870613
200.0,3.0912354525,0.96,0.02,0.02,0.027771359102004727,0.00019340233874765814,0.9981339677170924,0.0012519503009344073,0.000614081981973307,0.7818356735437552,0.10759208251768347,0.11057224393856138,0.027719536849380166,3.476836138511231e-05,1.70538912394515e-05,0.0001512088477797128,2.0808560389651005e-05,2.1384930578294338e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,63.65845399182276,3.87,19.771740805104002,-0.07354707601792398
200.0,3.6615354676,0.96,0.02,0.02,0.027768107867560586,0.00022920995211115377,0.9966268998083502,0.002242607983570375,0.0011304922080795018,0.6650941618587193,0.16297575288134544,0.17193008525993528,0.027674443257590765,6.227298039243472e-05,3.1391629577388356e-05,0.000152446200989045,3.735566451321242e-05,3.940808660889635e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,63.65845399182276,3.87,19.657053223471607,-0.13187443581337988
200.0,4.2318354827,0.96,0.02,0.02,0.02776478577564729,0.00026516686793664226,0.9951334161214117,0.003205815397084741,0.001660768481503535,0.5796694303942789,0.20180246902314988,0.21852810058257116,0.027629666116799068,8.900877773632948e-05,4.6110881111892694e-05,0.0001537091272962684,5.351132865274993e-05,5.7946411987623925e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,63.65845399182276,3.87,19.542612669252676,-0.1887328756696931
200.0,4.8021354979,0.96,0.02,0.02,0.027761393043677647,0.00030127089923859425,0.9936533508184869,0.004141757119092619,0.0022048920624203917,0.5144756529626012,0.2299414510841385,0.2555828959532603,0.02758520122123933,0.0001149809472745802,6.121087516373752e-05,0.00015499654260440582,6.927466774034564e-05,7.69996888938428e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,63.65845399182276,3.87,19.428423189853476,-0.24414838388321414
200.0,5.372435513,0.96,0.02,0.02,0.027757930175285186,0.00033752110799732053,0.9921865676132896,0.005050631356516962,0.002762801030193391,0.463103871723671,0.250788305493475,0.28610782278285407,0.027541045464665567,0.0001401950725353037,7.668963808431412e-05,0.00015630733190202245,8.464634674292818e-05,9.656742935236993e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,63.65845399182276,3.87,19.31448751975025,-0.29814103365378486
200.0,5.9427355281,0.96,0.02,0.02,0.027754397875003837,0.0003739172348345934,0.9907329326571892,0.005932669713139431,0.0033343976296712615,0.4215922321987073,0.266444424395026,0.31196334340626664,0.027497196000837013,0.00016465767567945663,9.25441984873659e-05,0.00015764060169148447,9.962816240688302e-05,0.00011664847073622592,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,63.65845399182276,3.87,19.20080738141832,-0.3507288249150484
200.0,6.5130355432,0.96,0.02,0.02,0.02775079700483997,0.0004104594186102502,0.9892923023886667,0.006788145253519005,0.003919552357814276,0.38736031934822773,0.27828056062160705,0.3343591200301653,0.02745364986203865,0.00018837644096977385,0.00010877070183154586,0.0001589956914723544,0.00011422287712327931,0.00013724085001461654,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,63.65845399182276,3.87,19.087383731690483,-0.40192912631722066
200.0,7.0833355584,0.96,0.02,0.02,0.027747128551196182,0.0004471480470164012,0.9878645164170806,0.0076173759988064655,0.0045181075841128696,0.35865556228068024,0.2872295458507588,0.35411489186856093,0.027410403728189987,0.0002113603110616794,0.00012536451194451422,0.00016037213422537543,0.00012843413047257466,0.00015834178231845112,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,63.65845399182276,3.87,18.974216890565927,-0.45175879611494096
200.0,7.6536355735,0.96,0.02,0.02,0.027743393612156914,0.0004839836718478096,0.9864493966010687,0.00842072402657627,0.005129879372354991,0.33424601681870936,0.2939487093793488,0.3718052738019419,0.02736745388837813,0.00023361946116865233,0.00014232026261012896,0.00016176961452042367,0.0001422663757003419,0.00017994768162704405,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,56.55314330349872,63.65845399182276,3.87,18.861306704524242,-0.5002351755596592
