T,P,z_carbon dioxide,z_hydrogen,z_argon,z_nitrogen,z_carbon monoxide,rho_l,rho_v,x_carbon dioxide,x_hydrogen,x_argon,x_nitrogen,x_carbon monoxide,y_carbon dioxide,y_hydrogen,y_argon,y_nitrogen,y_carbon monoxide,rhoL1_carbon dioxide,rhoL2_hydrogen,rhoL3_argon,rhoL4_nitrogen,rhoL5_carbon monoxide,rhoV1_carbon dioxide,rhoV2_hydrogen,rhoV3_argon,rhoV4_nitrogen,rhoV5_carbon monoxide,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,parachor_carbon dioxide,parachor_hydrogen,parachor_argon,parachor_nitrogen,parachor_carbon monoxide,n_exp,gamma_parachor,gamma_cDFT_minus_parachor
200.0,2.5488982965,0.95000095000095,0.0023540023540023543,0.004507004507004507,0.03680603680603681,0.006332006332006332,0.027774371276812912,0.00015946595149490486,0.9997458249352232,2.999958576726372e-06,5.1102219520582396e-05,0.00016581791076201543,3.425497591739831e-05,0.940979297039261,0.002780376483028786,0.0053151199987409095,0.04345104977974001,0.007474156699229296,0.027767311724194495,8.332196332505749e-08,1.4193320180338519e-06,4.605488217849648e-06,9.514104192081055e-07,0.00015005415893937246,4.4337538138024253e-07,8.475806679088166e-07,6.928962996578717e-06,1.1918735096646171e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,61.77794369140718,63.65845399182276,3.87,19.884659986578857,-0.01326212066940613
200.0,6.5364025933,0.95000095000095,0.0023540023540023543,0.004507004507004507,0.03680603680603681,0.006332006332006332,0.027752033336612844,0.0004105126810646396,0.993417965560416,8.853482718315559e-05,0.001163008287772494,0.00443566829263386,0.0008948230319945657,0.38711752001148536,0.03172484039051309,0.047860515509506756,0.45647431257435295,0.07682281151414187,0.027569368497422773,2.457021475438191e-06,3.227584477301928e-05,0.00012309881432733146,2.483315861428217e-05,0.00015891665102700912,1.3023449285057297e-05,1.9647348538943383e-05,0.00018738849389203597,3.153673832159385e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,61.77794369140718,63.65845399182276,3.87,19.17906630671536,-0.3188808647494774
200.0,10.5239068902,0.95000095000095,0.0023540023540023543,0.004507004507004507,0.03680603680603681,0.006332006332006332,0.027729806429334068,0.0006671325774067111,0.9873154782292014,0.0001949020366687388,0.0019959632067472755,0.008766230746498545,0.0017274257808841682,0.2527508514880312,0.04269841994254783,0.05142770475717659,0.5607509576075298,0.0923720662047145,0.02737806709598115,5.404595749507097e-06,5.534767336317484e-05,0.00024308588171528133,4.790118252495923e-05,0.00016861832699495113,2.8485506947466047e-05,3.4309097224766594e-05,0.00037409523163199274,6.162441460753453e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,61.77794369140718,63.65845399182276,3.87,18.48686189892484,-0.5680467802487605
200.0,14.511411187,0.95000095000095,0.0023540023540023543,0.004507004507004507,0.03680603680603681,0.006332006332006332,0.027707983451401155,0.0009291770213929554,0.9814030992106662,0.0003277296295488671,0.002636071309020869,0.013108326842253958,0.0025247730085101454,0.19269413215674064,0.05122040760519429,0.049627179470241874,0.6083095094828237,0.09814877128499955,0.027192700832082944,9.08072715207384e-06,7.304022020706362e-05,0.0003632053032207302,6.995636873834341e-05,0.00017904695975730077,4.759282577312752e-05,4.6112434800292973e-05,0.0005652272181062599,9.119758295597432e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,61.77794369140718,63.65845399182276,3.87,17.809088129911768,-0.7663162656259104
200.0,18.4989154838,0.95000095000095,0.0023540023540023543,0.004507004507004507,0.03680603680603681,0.006332006332006332,0.027686880378139968,0.0011965028737322013,0.9756706676524697,0.0004945662853945682,0.003137949916592986,0.01741531881828406,0.003281497327258779,0.1589487760224436,0.0596554095768886,0.046696545690998625,0.6343610947716972,0.10033817393797177,0.027013277063753883,1.3692997582780443e-05,8.68800439733043e-05,0.0004821758488690007,9.085442396099983e-05,0.00019018266728706976,7.137786899241869e-05,5.5872551112646895e-05,0.0007590148728782411,0.0001200549134618247,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,61.77794369140718,63.65845399182276,3.87,17.147296868410105,-0.9188303590207241
200.0,22.4864197806,0.95000095000095,0.0023540023540023543,0.004507004507004507,0.03680603680603681,0.006332006332006332,0.027666859966867092,0.0014688446441566767,0.9701254622918425,0.0007054690326630639,0.0035373704390022215,0.021638695833648424,0.003993002402843764,0.13753005867494378,0.06890892391477489,0.043653267735773625,0.6491450023798113,0.1007627472946963,0.026840325315520608,1.9518112937650177e-05,9.786793258680963e-05,0.0005986747674951813,0.00011047383832684224,0.00020201029009524467,0.00010121650382681703,6.411986851362854e-05,0.000953493160026659,0.00014800482169432733,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,61.77794369140718,63.65845399182276,3.87,16.503724901123086,-1.030287435426116
200.0,26.4739240774,0.95000095000095,0.0023540023540023543,0.004507004507004507,0.03680603680603681,0.006332006332006332,0.027648357239230127,0.001745749877425468,0.96478929598661,0.000973538415316405,0.0038583462020141475,0.025724174746505474,0.004654644649553972,0.12286689405328564,0.07956539149799507,0.04078742256397143,0.6566309666285454,0.10014932525620239,0.026674839116023127,2.6916737892781953e-05,0.00010667693414591392,0.0007112311730757654,0.00012869327809253932,0.00021449486523317137,0.00013890127245493427,7.120463794155389e-05,0.0011463134295055495,0.00017483567229025865,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,61.77794369140718,63.65845399182276,3.87,15.881363843332181,-1.1049167047806918
200.0,30.4614283742,0.95000095000095,0.0023540023540023543,0.004507004507004507,0.03680603680603681,0.006332006332006332,0.02763189201637181,0.0020265190064587876,0.9596965364671233,0.001315124542839481,0.004117349979505172,0.029609654788607873,0.005261334221924249,0.11229491232238711,0.09211383460940167,0.038173451754296685,0.6585789111416149,0.0988388901722997,0.02651823106414558,3.633937935582088e-05,0.00011377017002729758,0.0008181707837608592,0.00014538061908225244,0.0002275677741499406,0.00018667043659375377,7.735922552221978e-05,0.0013346226806814157,0.00020029888951145802,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,61.77794369140718,63.65845399182276,3.87,15.283956089859972,-1.1465760638430975
200.0,34.448932671,0.95000095000095,0.0023540023540023543,0.004507004507004507,0.03680603680603681,0.006332006332006332,0.027618052261314432,0.0023101682911780435,0.9548906429939013,0.0017491003295983917,0.004325973495214939,0.03322661100701491,0.005807672174270586,0.1043727873692712,0.10696633449966045,0.03581468008083889,0.6558353431585511,0.09701085489167825,0.026372219682045707,4.830674431313068e-05,0.00011947496207190724,0.0009176542792581032,0.00016039659362558666,0.00024111870384235855,0.0002471102341846596,8.27379382814399e-05,0.0015150900139987557,0.0002241114008708295,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,61.77794369140718,63.65845399182276,3.87,14.715782743585113,-1.1589179193519783
200.0,38.4364369678,0.95000095000095,0.0023540023540023543,0.004507004507004507,0.03680603680603681,0.006332006332006332,0.027607426657132058,0.0025954594447747683,0.9504168306337806,0.0022944213446783514,0.004492754530048813,0.03650717141438821,0.006288822077104054,0.09824808332882536,0.12438011149386273,0.0336919623142824,0.6489034368537231,0.0947764060093065,0.026238562945425998,6.334306899376591e-05,0.0001240333911768204,0.0010078690572820706,0.00017361819425340308,0.0002549989158068182,0.0003228235351188847,8.744612180159981e-05,0.001684202553928803,0.00024598831811866264,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,56.55314330349872,61.77794369140718,63.65845399182276,3.87,14.181071392185434,-1.1456030513563409
