T,P,z_carbon dioxide,z_hydrogen,z_hydrogen sulfide,rho_l,rho_v,x_carbon dioxide,x_hydrogen,x_hydrogen sulfide,y_carbon dioxide,y_hydrogen,y_hydrogen sulfide,rhoL1_carbon dioxide,rhoL2_hydrogen,rhoL3_hydrogen sulfide,rhoV1_carbon dioxide,rhoV2_hydrogen,rhoV3_hydrogen sulfide,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,parachor_carbon dioxide,parachor_hydrogen,parachor_hydrogen sulfide,n_exp,gamma_parachor,gamma_cDFT_minus_parachor
200.0,2.1372452602,0.96,0.003399,0.036601,0.02796676963255382,0.00013319026025456772,0.8631459471138091,2.88597427283615e-06,0.13685116691191815,0.962888694654027,0.0035002898906988634,0.033611015455274125,0.02413940386220438,8.071137765388564e-08,0.003827285058971787,0.00012824739583715085,4.6620452150861403e-07,4.476659895908259e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,86.02971371321541,3.87,21.578961564860005,-0.16170488540969785
200.0,2.4388500599,0.96,0.003399,0.036601,0.027833335349937562,0.00015224944324879788,0.9612280413248501,4.7908854759089344e-05,0.038724049820390884,0.9437464770970432,0.04775177183015022,0.008501751072806556,0.026754182421958192,1.3334632207411858e-06,0.001077819464758629,0.0001436848757060392,7.270180675284001e-06,1.2943868674746683e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,86.02971371321541,3.87,20.372635633820728,-0.04815171898674464
200.0,2.7404548596,0.96,0.003399,0.036601,0.027832676905194975,0.00017060440756135452,0.9625763738897612,0.00016589423572873274,0.03725773187451003,0.8451339824532088,0.14754499718049136,0.007321020366299894,0.02679107721104788,4.617280663472071e-06,0.001036982413483622,0.00014418358238639788,2.517182683261945e-05,1.2489983423372042e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,86.02971371321541,3.87,20.330941812620086,-0.04144899665364221
200.0,3.0420596593,0.96,0.003399,0.036601,0.027833807486068975,0.00018895996188693056,0.9626994303676099,0.0002846909559080903,0.03701587867648208,0.7646943010724557,0.2287214650026075,0.00658423392493675,0.026795590611800316,7.924033259770737e-06,0.0010302928410088879,0.00014449660598580424,4.321919930961563e-05,1.2441565915106834e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,86.02971371321541,3.87,20.303942971839,-0.036221563856209116
200.0,3.3436644589,0.96,0.003399,0.036601,0.027835143638802816,0.00020732161106735438,0.9626817968665979,0.00040349633884764465,0.0369147067945545,0.6984034636804497,0.2955961429119025,0.006000393407647826,0.02679638609424255,1.1231378549555241e-05,0.0010275261660107147,0.00014479413126525136,6.128346857379156e-05,1.2440112283114798e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,86.02971371321541,3.87,20.27863707025172,-0.031146424348143853
200.0,3.6452692586,0.96,0.003399,0.036601,0.027836544376914716,0.0002256880803831183,0.9626199491862051,0.0005222507346569241,0.036857800079137915,0.6428833340195071,0.3515985531404905,0.005518112840002408,0.026796012933625185,1.453765575115378e-05,0.0010259937875383733,0.00014509110556516162,7.935160252375911e-05,1.2453722941975806e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,86.02971371321541,3.87,20.25386960644875,-0.026110687816810696
200.0,3.9468740583,0.96,0.003399,0.036601,0.027837973577923655,0.00024405813840552777,0.962538606400528,0.0006409447191781663,0.036820448880293746,0.5957223917079163,0.3991664498205506,0.005111158471532935,0.026795124292709357,1.784260215739149e-05,0.001025006683056906,0.00014539089792672266,9.74198206571471e-05,1.2474198216579709e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,86.02971371321541,3.87,20.229346369664615,-0.021088300612778
200.0,4.248478858,0.96,0.003399,0.036601,0.027839417791794403,0.000262430830644765,0.9624469751331775,0.0007595779146914447,0.03679344695213112,0.5551723842013666,0.4400650434731244,0.004762572325508905,0.026793963443181284,2.1146206912515097e-05,0.0010243081417006027,0.00014569434993699925,0.00011548663489637667,1.2498458113890722e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,86.02971371321541,3.87,20.204958914765864,-0.016071228942966087
200.0,4.5500836576,0.96,0.003399,0.036601,0.0278408708701535,0.0002808054333966505,0.9623492657613317,0.0008781519206820793,0.036772582317986115,0.5199384100642468,0.4756011799450446,0.004460409990708673,0.02679264164004827,2.444851422808705e-05,0.0010237807158771414,0.0001460015305776562,0.00013355139545842662,1.252507360567699e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,86.02971371321541,3.87,20.180658427268213,-0.011056771049297254
200.0,4.8516884573,0.96,0.003399,0.036601,0.027842329605389352,0.00029918139467424466,0.9622476759639585,0.0009966686219587885,0.036755655414082634,0.48904192723839046,0.5067621956202563,0.004195877141353195,0.026791216956208425,2.7749576279925785e-05,0.0010233630729010023,0.00014631224584536214,0.00015161382045385068,1.2553283750318317e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,86.02971371321541,3.87,20.156419961525003,-0.006044084161981544
