T,P,z_carbon dioxide,z_hydrogen,z_carbon monoxide,rho_l,rho_v,x_carbon dioxide,x_hydrogen,x_carbon monoxide,y_carbon dioxide,y_hydrogen,y_carbon monoxide,rhoL1_carbon dioxide,rhoL2_hydrogen,rhoL3_carbon monoxide,rhoV1_carbon dioxide,rhoV2_hydrogen,rhoV3_carbon monoxide,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,parachor_carbon dioxide,parachor_hydrogen,parachor_carbon monoxide,n_exp,gamma_parachor,gamma_cDFT_minus_parachor
200.0,2.52127896,0.96,0.011171,0.028829,0.02777460936912747,0.00015771543489791296,0.9998249266157891,1.4644313512920361e-05,0.00016042907069784826,0.9508870880599901,0.013723845556332492,0.03538906638367738,0.027769746774270083,4.0674008730039785e-07,4.455854770084869e-06,0.0001499695706321914,2.1644622703887694e-06,5.581401995332789e-06,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,63.65845399182276,3.87,19.891940520956428,-0.009098997479544124
200.0,4.035595008,0.96,0.011171,0.028829,0.0277673623079471,0.00025184812855322047,0.997794928307728,0.00019381130931469487,0.002011260382957379,0.6070131309263157,0.11369278375911303,0.2792940853145713,0.027706133283352783,5.381628845118735e-06,5.584739574919797e-05,0.0001528751210310236,2.8633314819738595e-05,7.033969270245828e-05,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,63.65845399182276,3.87,19.651348073363184,-0.11035527994717498
200.0,5.549911056,0.96,0.011171,0.028829,0.027760579523130928,0.0003465532513155836,0.9958111463271262,0.00038717785475082746,0.003801675818123025,0.4497870999413371,0.16481157660105492,0.38540132345760797,0.027644294517634355,1.074828162640558e-05,0.00010553672387016807,0.00015587518188447773,5.711598772554294e-05,0.00013356208170556294,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,63.65845399182276,3.87,19.415222096180955,-0.20194505890296455
200.0,7.0642271039,0.96,0.011171,0.028829,0.02775428488593495,0.0004417552021309601,0.9938754312064295,0.0005955797321492255,0.0055289890614211345,0.35979372874389565,0.19854672747791874,0.4416595437781855,0.02758430185883469,1.6529889558358436e-05,0.00015345313754190027,0.00015894075136671144,8.770904972944864e-05,0.00019510540103479996,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,63.65845399182276,3.87,19.18383359042922,-0.2843608437150067
200.0,8.5785431519,0.96,0.011171,0.028829,0.027748502670115992,0.0005374030048771933,0.9919899089596167,0.0008196918815667281,0.007190399158816628,0.30154722381173316,0.22423342466543772,0.4742193515228291,0.027526234637494044,2.2745222364326757e-05,0.000199522810257623,0.00016205238418880093,0.00012050371620910997,0.00025484690447928236,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,63.65845399182276,3.87,18.957388120969583,-0.3580094765490891
200.0,10.0928591999,0.96,0.011171,0.028829,0.02774325464245326,0.0006334507920784872,0.9901565276196395,0.001060067376205584,0.008783405004155063,0.26079073951913523,0.24560308753421095,0.4936061729466538,0.027470164681638962,2.9409719156228816e-05,0.00024368024165807213,0.00016519810051513067,0.00015557747033546795,0.0003126752212278886,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,63.65845399182276,3.87,18.73604842054716,-0.4233023652555623
200.0,11.6071752479,0.96,0.011171,0.028829,0.027738558811653585,0.0007298539156943315,0.9883769005318472,0.0013171293974230255,0.010305970070729711,0.23068945823225628,0.2644238772692861,0.5048866644984575,0.02741615078348253,3.653527125297644e-05,0.00028587275691807775,0.00016836960440021618,0.0001929908022280658,0.00036849350906604947,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,63.65845399182276,3.87,18.519938071695112,-0.4806628843572689
200.0,13.1214912959,0.96,0.011171,0.028829,0.027734428614342985,0.0008265682717994238,0.9866522186847102,0.001591157363633879,0.011756623951655956,0.20755767796502705,0.2816279973445477,0.5108143246904253,0.027364235526294217,4.412984031589e-05,0.00032606324773287704,0.00017156059117425375,0.00023278476705541548,0.00042222291356975455,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,63.65845399182276,3.87,18.309140220169404,-0.5305272048749003
200.0,14.6358073439,0.96,0.011171,0.028829,0.027730872364266572,0.0009235505538412439,0.9849831957694627,0.001882275600491681,0.013134528630045685,0.1892327541427348,0.29774140472329447,0.5130258411339707,0.027314443282830364,5.2197144431608026e-05,0.00036423193700460196,0.00017476601489342666,0.00027497923923366853,0.0004738052997141486,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,63.65845399182276,3.87,18.10369567654404,-0.5733427681697449
200.0,16.1501233919,0.96,0.011171,0.028829,0.027727892939627182,0.0010207588047627212,0.9833700376459337,0.002190447752462835,0.014439514601603455,0.17436220694301166,0.313073006110619,0.5125647869463694,0.0272667791238836,6.0736500770136474e-05,0.000400377314973444,0.00017798175795493882,0.00031957202752094755,0.0005232050192868348,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,78.4118485137822,34.052431631256816,63.65845399182276,3.87,17.90360191029243,-0.6095572256079755
