T,P,z_carbon dioxide,z_hydrogen,z_nitrogen,z_hydrogen sulfide,rho_l,rho_v,x_carbon dioxide,x_hydrogen,x_nitrogen,x_hydrogen sulfide,y_carbon dioxide,y_hydrogen,y_nitrogen,y_hydrogen sulfide,rhoL1_carbon dioxide,rhoL2_hydrogen,rhoL3_nitrogen,rhoL4_hydrogen sulfide,rhoV1_carbon dioxide,rhoV2_hydrogen,rhoV3_nitrogen,rhoV4_hydrogen sulfide,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,gamma_wsd,gamma_cDFT_minus_wsd_corrected,gamma_cDFT_minus_wsd_uncorrected
200.0,2.4021933944,0.99,0.002732,0.003769,0.003499,0.02778630256719844,0.00015029011658103852,0.99264185315829,4.099332343407248e-06,1.99350751841341e-05,0.007334112434182487,0.9887222620882403,0.00405135497309603,0.005582243242931157,0.0016441396957324777,0.02758184687272081,1.1390528881741643e-07,5.539220307661993e-07,0.00020378786715804684,0.00014859518403550977,6.088786112177725e-07,8.38955987763838e-07,2.470979465471473e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.996716241510423,-0.00929546699945405,-0.00977608777824912
200.0,2.723232338,0.99,0.002732,0.003769,0.003499,0.027780338749511246,0.0001700984716771777,0.9960160442432239,5.9199866107645225e-05,0.0002741291866688804,0.003650626703999624,0.8800260508382797,0.05159107984722578,0.0676556221080342,0.0007272472064603374,0.02766966310902494,1.6445923343960942e-06,7.6154016667895e-06,0.00010141564648512127,0.00014969108628369368,8.775563834188348e-06,1.1508117920945295e-05,1.2370363835040032e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.9338115739465,-0.041558371819185425,-0.0482051058989299
200.0,3.0442712815,0.99,0.002732,0.003769,0.003499,0.027779909790402575,0.00018989728769716217,0.9957770572616427,0.00011875494946846812,0.0005222341331655492,0.0035819536557233373,0.7910459948923888,0.09272860996662124,0.11558320636805808,0.0006421887729319297,0.027662596822080974,3.2990017833978606e-06,1.4507617108808043e-05,9.950634942939703e-05,0.00015021748887376784,1.7608911524589415e-05,2.194893739263559e-05,1.2194990616934222e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.913343422348888,-0.07668372420226177,-0.08945614691824844
200.0,3.365310225,0.99,0.002732,0.003769,0.003499,0.027779640269528998,0.00020970599165317329,0.9955016944572294,0.00018163372995880458,0.0007584660370345299,0.0035582057757773348,0.7187850439117611,0.12845644386278934,0.15217815701796794,0.0005803552074815885,0.0276546789597284,5.045719679068364e-06,2.10699136654745e-05,9.884567645605471e-05,0.00015073353041898557,2.6938085944486423e-05,3.191267132540528e-05,1.2170396429600966e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.89406170347983,-0.11071580168169248,-0.12943580312267855
200.0,3.6863491686,0.99,0.002732,0.003769,0.003499,0.027779479673555988,0.00022952170632112393,0.9952235636038106,0.0002478362597076811,0.000982765205853586,0.0035458349306282007,0.6589552725179997,0.16016653527125196,0.18034736834918777,0.0005308238615605858,0.02764679275577601,6.88476233891967e-06,2.7300706059887758e-05,9.85014493811709e-05,0.00015124453853763252,3.676169647100023e-05,4.1393635714029833e-05,1.2183559846135373e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.87557726380666,-0.14363192821703308,-0.16812097898851874
200.0,4.0073881121,0.99,0.002732,0.003769,0.003499,0.027779417189549745,0.0002493419970514404,0.9949494034061876,0.00031734319162382427,0.0011952018516311934,0.003538051550557361,0.6086072078983843,0.18880143636124683,0.20210160325580673,0.0004897524845622501,0.02763911455971411,8.815608912381442e-06,3.320201086218526e-05,9.828501006106628e-05,0.0001517513366372843,4.707612718849372e-05,5.039241736310074e-05,1.2211586256165617e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.85780605006165,-0.17544518861072333,-0.20552651408139866
200.0,4.3284270557,0.99,0.002732,0.003769,0.003499,0.02777944814066852,0.0002691648571894034,0.9946813685537145,0.0003901098810162643,0.0013959402492757463,0.0035325813159935884,0.5656532508037532,0.21501467921291031,0.21887707775843576,0.0004549922249008733,0.027631699494227103,1.083703720885368e-05,3.877844976222748e-05,9.813315947033844e-05,0.000152253976471314,5.787439542396839e-05,5.8914017376883304e-05,1.2246791723773247e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.840711753740177,-0.20618004503597476,-0.24167995546848076
200.0,4.6494659992,0.99,0.002732,0.003769,0.003499,0.02777956916591881,0.0002889886328562701,0.9944202572473498,0.00046606742935706165,0.0015852289338290388,0.003528446389464093,0.5285756209211685,0.23926948434444362,0.23172976152861782,0.00042513320577010046,0.02762456631619353,1.2947152389806472e-05,4.4036976811119516e-05,9.801872052435427e-05,0.00015275234605116256,6.914616116492549e-05,6.696726697626476e-05,1.228586639173047e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.824268699089565,-0.23586824894567116,-0.2766172875857045
200.0,4.9705049427,0.99,0.002732,0.003769,0.003499,0.027779777062371277,0.00030881196581010527,0.9941663270459513,0.0005451251851917265,0.0017633913561681976,0.0035251564126887714,0.496244809559445,0.26190051431637046,0.2414554962741499,0.0003991798500345277,0.02761771892825302,1.5143456115710018e-05,4.8986618748065074e-05,9.792805925448255e-05,0.00015324633516311352,8.087801267271598e-05,7.456434646007478e-05,1.2327151420094552e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.808452859016064,-0.26454720526952613,-0.31038115478392214
200.0,5.2915438863,0.99,0.002732,0.003769,0.003499,0.027780068458668282,0.00032863375072241045,0.9939195730800393,0.0006271739425344443,0.0019308149516757747,0.003522438025750463,0.46780309809906107,0.2831537765057861,0.2486667268069995,0.00037639858815343113,0.027611153782573845,1.742293505909975e-05,5.3638171538573314e-05,9.785356949676421e-05,0.00015373588672785816,9.305388760431163e-05,8.172027911044921e-05,1.236972797914819e-07,19.912634119959,0.02777524771620771,0.00014972642075782548,309.1473760575555,82.3795680252517,2.3922586739869414,19.793239273529732,-0.2922587665668175,-0.3430194981967247
